Update,Episode,Step,dy,dx,vy,thrust,pitch,reward
0,0,341,3.36,3.44,-0.00,0.23,-0.54,-0.011
0,0,342,3.36,3.44,-0.00,0.25,-0.41,-0.011
0,0,343,3.36,3.44,-0.00,0.16,0.34,-0.011
0,0,344,3.36,3.44,-0.00,0.29,-0.22,-0.011
0,0,345,3.36,3.44,-0.00,0.38,-0.39,-0.011
0,0,346,3.36,3.44,-0.00,0.11,-0.22,-0.011
0,0,347,3.36,3.44,-0.00,0.20,-0.75,-0.011
0,0,348,3.36,3.44,-0.00,0.15,-0.78,-0.011
0,0,349,3.36,3.44,-0.00,0.19,-0.55,-0.011
0,0,350,3.36,3.44,-0.00,0.16,-0.53,-0.011
0,0,351,3.36,3.44,-0.00,0.58,-0.61,-0.011
0,0,352,3.36,3.44,-0.00,0.26,-0.39,-0.011
0,0,353,3.36,3.44,-0.00,0.27,-0.15,-0.011
0,0,354,3.36,3.44,-0.00,0.10,-0.36,-0.011
0,0,355,3.36,3.44,-0.00,0.03,-0.84,-0.011
0,0,356,3.36,3.44,-0.00,0.70,-0.42,-0.011
0,0,357,3.36,3.44,-0.00,0.19,-0.56,-0.011
0,0,358,3.36,3.44,-0.00,0.13,-0.34,-0.011
0,0,359,3.36,3.44,-0.00,0.20,-0.11,-0.011
0,0,360,3.36,3.44,-0.00,0.31,-0.53,-0.011
0,0,361,3.36,3.44,-0.00,0.23,-0.46,-0.011
0,0,362,3.36,3.44,-0.00,0.26,-0.72,-0.011
0,0,363,3.36,3.44,-0.00,0.28,-0.36,-0.011
0,0,364,3.36,3.44,-0.00,0.20,0.01,-0.011
0,0,365,3.35,3.44,-0.00,0.15,-0.03,-0.011
0,0,366,3.36,3.44,-0.00,0.13,-0.80,-0.011
0,0,367,3.36,3.44,-0.00,0.43,-0.34,-0.011
0,0,368,3.36,3.44,-0.00,0.35,-0.70,-0.011
0,0,369,3.36,3.44,-0.00,0.37,-0.36,-0.011
0,0,370,3.36,3.44,-0.00,0.11,-0.51,-0.011
0,0,371,3.36,3.44,-0.00,0.13,-0.48,-0.011
0,0,372,3.36,3.44,-0.00,0.14,-0.47,-0.011
0,0,373,3.36,3.44,-0.00,0.27,0.31,-0.011
0,0,374,3.36,3.44,-0.00,0.31,-0.39,-0.011
0,0,375,3.36,3.44,-0.00,0.28,-0.23,-0.011
0,0,376,3.36,3.44,-0.00,0.23,-0.56,-0.011
0,0,377,3.35,3.44,-0.00,0.08,-0.42,-0.011
0,0,378,3.35,3.44,-0.00,0.29,-0.49,-0.011
